# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Mar 15 19:08:21 BRT 2023 [seed=111]
# -seed 111 -prefix seed1 simulated_data_n=5_L=5000_rate=0.2.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
72000	-14718.528772958249	-9.499354889924827	-14709.029418068323	0.43392743043828935	1.7127696493474835	1.0	0.2	0.2	-14709.029418068323	0.0	-2.584268249281917
73000	-14718.917377540613	-9.519570908804525	-14709.397806631809	0.439795655515912	1.7288587310482504	1.0	0.2	0.19999999999999998	-14709.397806631809	0.0	-2.604484268161614
74000	-14718.19535899375	-9.59907053101751	-14708.596288462732	0.44211427160705186	1.757223998757385	1.0	0.2	0.20000000000000004	-14708.596288462732	0.0	-2.6839838903746003
75000	-14718.414962493265	-9.569335283495395	-14708.84562720977	0.45433449643820845	1.7705261036753899	1.0	0.2	0.20000000000000004	-14708.84562720977	0.0	-2.654248642852486
76000	-14717.699479687592	-9.529711277377487	-14708.169768410215	0.44895168095456867	1.7490940800287609	1.0	0.2	0.19999999999999998	-14708.169768410215	0.0	-2.614624636734577
77000	-14718.80985789882	-9.427050075638455	-14709.38280782318	0.42651459893436755	1.674432215975963	1.0	0.2	0.19999999999999998	-14709.38280782318	0.0	-2.5119634349955455
78000	-14717.461777278211	-9.498609373724713	-14707.963167904487	0.44538719208214816	1.7273113087580245	1.0	0.2	0.20000000000000004	-14707.963167904487	0.0	-2.583522733081803
79000	-14717.39243848234	-9.569731309887416	-14707.822707172452	0.44844371975393554	1.759654841097817	1.0	0.2	0.19999999999999998	-14707.822707172452	0.0	-2.654644669244507
80000	-14717.074105105166	-9.504051920022494	-14707.570053185143	0.43601447546047145	1.7164803379980127	1.0	0.2	0.2	-14707.570053185143	0.0	-2.5889652793795848
81000	-14718.277720886772	-9.5063425959885	-14708.771378290783	0.43472244067577065	1.7172679339605657	1.0	0.2	0.2	-14708.771378290783	0.0	-2.5912559553455905
82000	-14720.87401782185	-9.481816462493619	-14711.392201359356	0.4379996181480649	1.7134128259901789	1.0	0.2	0.2	-14711.392201359356	0.0	-2.5667298218507084
83000	-14720.253121356798	-9.501704251902	-14710.751417104897	0.42399539745474063	1.690693345233162	1.0	0.2	0.2	-14710.751417104897	0.0	-2.5866176112590895
84000	-14718.314568673508	-9.604575864995605	-14708.709992808512	0.44733057317403163	1.775085194488331	1.0	0.2	0.2	-14708.709992808512	0.0	-2.6894892243526947
85000	-14717.224607252723	-9.533204479790665	-14707.691402772933	0.43840411821415676	1.729445078774244	1.0	0.2	0.19999999999999996	-14707.691402772933	0.0	-2.6181178391477555
86000	-14717.414898789333	-9.562220532520833	-14707.852678256811	0.43991343715817355	1.7417131504105832	1.0	0.2	0.20000000000000004	-14707.852678256811	0.0	-2.647133891877922
87000	-14720.2975499019	-9.638460658203346	-14710.659089243696	0.449523723729991	1.7922061591324576	1.0	0.2	0.2	-14710.659089243696	0.0	-2.7233740175604373
88000	-14719.463659768213	-9.528921993920491	-14709.934737774292	0.4338142901511349	1.7139505272478037	1.0	0.2	0.20000000000000004	-14709.934737774292	0.0	-2.6138353532775813
89000	-14717.315705492432	-9.494993801884288	-14707.820711690549	0.43002326271028185	1.7025788843579672	1.0	0.2	0.19999999999999998	-14707.820711690549	0.0	-2.579907161241377
90000	-14719.259263926826	-9.502109632239929	-14709.757154294586	0.4338083277737656	1.7126680172774191	1.0	0.2	0.20000000000000004	-14709.757154294586	0.0	-2.5870229915970198
91000	-14719.719031389921	-9.566488285275096	-14710.152543104647	0.4504958789332885	1.7678749548331905	1.0	0.2	0.20000000000000004	-14710.152543104647	0.0	-2.6514016446321858
92000	-14720.047545551923	-9.644944249961664	-14710.402601301961	0.4588102456305106	1.8103548952725204	1.0	0.2	0.2	-14710.402601301961	0.0	-2.7298576093187554
93000	-14720.780577394175	-9.608508463147906	-14711.172068931026	0.44764373949909764	1.7688514757717217	1.0	0.2	0.20000000000000004	-14711.172068931026	0.0	-2.693421822504997
94000	-14720.349363342099	-9.410499974070232	-14710.938863368028	0.4346006312679248	1.6723090724398786	1.0	0.2	0.20000000000000004	-14710.938863368028	0.0	-2.495413333427322
95000	-14719.894028358698	-9.589189991217964	-14710.30483836748	0.429698206732215	1.7309549824699442	1.0	0.2	0.20000000000000004	-14710.30483836748	0.0	-2.674103350575055
96000	-14721.027820544585	-9.458820599698717	-14711.568999944886	0.4297259879168039	1.6785888501085693	1.0	0.2	0.20000000000000004	-14711.568999944886	0.0	-2.5437339590558072
97000	-14717.456497128087	-9.511529813434707	-14707.944967314652	0.4448798766464482	1.7340882324335198	1.0	0.2	0.19999999999999998	-14707.944967314652	0.0	-2.596443172791797
98000	-14719.568835906197	-9.585149925329564	-14709.983685980867	0.4306136180349701	1.7321443687269171	1.0	0.2	0.2	-14709.983685980867	0.0	-2.670063284686653
