# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Aug 16 19:24:10 BRT 2022 [seed=1]
# -seed 1 -prefix seed_1_ simulated_data_n=5_L=5000_rate=0.2.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
30000	-14718.844082584828	-9.484410391349043	-14709.35967219348	0.4195133869928793	1.6782349370087184	1.0	0.2	0.19999999999999998	-14709.35967219348	0.0	-2.569323750706132
31000	-14718.86351067215	-9.650896585351953	-14709.212614086799	0.44974459170899345	1.7943309242102217	1.0	0.2	0.20000000000000004	-14709.212614086799	0.0	-2.7358099447090427
32000	-14717.666797934351	-9.504241465263824	-14708.162556469088	0.4423735004585452	1.7293850379994733	1.0	0.2	0.20000000000000004	-14708.162556469088	0.0	-2.5891548246209144
33000	-14718.086594035934	-9.563659089890209	-14708.522934946044	0.449461925190346	1.7644024961745162	1.0	0.2	0.19999999999999998	-14708.522934946044	0.0	-2.6485724492472977
34000	-14721.942832029063	-9.428321496003477	-14712.51451053306	0.4074205358201722	1.6345170835023806	1.0	0.2	0.20000000000000004	-14712.51451053306	0.0	-2.513234855360568
35000	-14721.875460417099	-9.375946400104391	-14712.499514016994	0.4415242885391019	1.6706647839873783	1.0	0.2	0.2	-14712.499514016994	0.0	-2.460859759461482
36000	-14718.145952312709	-9.520434129607093	-14708.625518183102	0.4517797352848575	1.7458910853593992	1.0	0.2	0.20000000000000004	-14708.625518183102	0.0	-2.605347488964184
37000	-14718.51421428907	-9.552024770594722	-14708.962189518475	0.44370694680245665	1.7512725053489557	1.0	0.2	0.2	-14708.962189518475	0.0	-2.6369381299518113
38000	-14718.805878836481	-9.50827901375369	-14709.297599822728	0.4374853534183348	1.7207503690899213	1.0	0.2	0.2	-14709.297599822728	0.0	-2.5931923731107807
39000	-14719.663668002848	-9.51805246688152	-14710.145615535966	0.45067304958971355	1.7382911656352966	1.0	0.2	0.20000000000000004	-14710.145615535966	0.0	-2.602965826238609
40000	-14719.730591831674	-9.387393467041967	-14710.343198364631	0.41235884305937004	1.6292973284774495	1.0	0.2	0.20000000000000004	-14710.343198364631	0.0	-2.472306826399058
41000	-14718.192067089056	-9.537954235531043	-14708.654112853525	0.4286413327773264	1.7104687265703928	1.0	0.2	0.2	-14708.654112853525	0.0	-2.6228675948881324
42000	-14719.169758403985	-9.547810334221364	-14709.621948069764	0.43037731766682913	1.7152469590767114	1.0	0.2	0.20000000000000007	-14709.621948069764	0.0	-2.6327236935784533
43000	-14720.953253052885	-9.60196961713719	-14711.351283435748	0.43969597683553807	1.755552644605456	1.0	0.2	0.19999999999999996	-14711.351283435748	0.0	-2.686882976494279
44000	-14718.790545634472	-9.642180745914409	-14709.148364888559	0.44942536809391054	1.7909023688498156	1.0	0.2	0.19999999999999998	-14709.148364888559	0.0	-2.727094105271499
45000	-14718.870457056018	-9.479098546190386	-14709.391358509829	0.427240984050145	1.6894611736414338	1.0	0.2	0.2	-14709.391358509829	0.0	-2.564011905547477
46000	-14717.954548278403	-9.445557036295094	-14708.508991242108	0.4276968011283141	1.6824216185194092	1.0	0.2	0.20000000000000007	-14708.508991242108	0.0	-2.5304703956521837
47000	-14719.90422877037	-9.595490382804298	-14710.308738387566	0.4615039150532696	1.7974414783831545	1.0	0.2	0.2	-14710.308738387566	0.0	-2.680403742161389
48000	-14718.30398733599	-9.547129422230686	-14708.756857913759	0.4498072761811488	1.7583551759754394	1.0	0.2	0.2	-14708.756857913759	0.0	-2.632042781587775
49000	-14722.994841906637	-9.59160827502464	-14713.403233631612	0.46176773636722634	1.7993654030201962	1.0	0.2	0.2	-14713.403233631612	0.0	-2.67652163438173
50000	-14719.77841714667	-9.557121131344074	-14710.221296015327	0.446538111045554	1.7594360746156836	1.0	0.2	0.2	-14710.221296015327	0.0	-2.642034490701164
51000	-14724.416355655329	-9.582516394806024	-14714.833839260522	0.4551845688663408	1.7817356493170038	1.0	0.2	0.2	-14714.833839260522	0.0	-2.6674297541631145
52000	-14718.986929630302	-9.58018584902698	-14709.406743781276	0.4377416745516661	1.7473120331952408	1.0	0.2	0.2	-14709.406743781276	0.0	-2.6650992083840706
53000	-14718.141219239034	-9.54410932094121	-14708.597109918093	0.4431557186713409	1.74720152562264	1.0	0.2	0.19999999999999998	-14708.597109918093	0.0	-2.6290226802982994
54000	-14717.286014805319	-9.546377398963354	-14707.739637406356	0.4340189626411144	1.7285728341405928	1.0	0.2	0.20000000000000004	-14707.739637406356	0.0	-2.631290758320445
55000	-14718.856028453516	-9.483082780728203	-14709.372945672787	0.44339161399509186	1.7218731980033466	1.0	0.2	0.20000000000000004	-14709.372945672787	0.0	-2.567996140085294
56000	-14717.028302941237	-9.484750247443131	-14707.543552693793	0.43375301611508243	1.7039220723176636	1.0	0.2	0.19999999999999998	-14707.543552693793	0.0	-2.569663606800221
57000	-14718.354941864392	-9.573388852343568	-14708.78155301205	0.45543594386102604	1.769975577807739	1.0	0.2	0.19999999999999998	-14708.78155301205	0.0	-2.6583022117006583
58000	-14718.243383373043	-9.63344674272302	-14708.60993663032	0.44985289363669556	1.7887438575393375	1.0	0.2	0.2	-14708.60993663032	0.0	-2.7183601020801107
59000	-14719.727129878062	-9.532794337748927	-14710.194335540313	0.4375063731467026	1.731201109711362	1.0	0.2	0.19999999999999998	-14710.194335540313	0.0	-2.6177076971060167
60000	-14717.713122889785	-9.497900153914944	-14708.215222735871	0.42362458098386935	1.6914595236626084	1.0	0.2	0.19999999999999996	-14708.215222735871	0.0	-2.5828135132720353
61000	-14718.8013952722	-9.504131790579288	-14709.29726348162	0.4357047630401608	1.718016592047067	1.0	0.2	0.20000000000000004	-14709.29726348162	0.0	-2.589045149936379
62000	-14718.298282398946	-9.597818065943759	-14708.700464333002	0.4428626188150793	1.7618480355567172	1.0	0.2	0.20000000000000004	-14708.700464333002	0.0	-2.682731425300849
63000	-14718.362115893424	-9.488762439904793	-14708.873353453519	0.43484503575787203	1.706254046265196	1.0	0.2	0.19999999999999998	-14708.873353453519	0.0	-2.5736757992618835
64000	-14720.000853845346	-9.527711587108875	-14710.473142258237	0.44243992290232403	1.7364852637492079	1.0	0.2	0.2	-14710.473142258237	0.0	-2.6126249464659663
65000	-14721.395678231282	-9.65908305713168	-14711.73659517415	0.44096060774711415	1.7720496641941306	1.0	0.2	0.19999999999999998	-14711.73659517415	0.0	-2.7439964164887694
